id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant
wc_post_id_986,"VESTIDO MOSTAZA $350","VESTIDO MOSTAZA $350 
 
Modelo: sale2822 
 
Talla: S 
 
$350",https://georginasj.com/tienda/wp-content/uploads/2020/07/mono-6.png,https://georginasj.com/tienda/producto/vestido-mostaza-350/,"REBAJAS VESTIDOS $350-$399","GeorginaSJ",500MXN,in stock,wc_post_id_986,https://georginasj.com/tienda/carrito/?add-to-cart=986,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,350MXN,new,published,,
wc_post_id_985,"VESTIDO ROSA FLORES $350","VESTIDO ROSA FLORES $350 
 
Modelo: 3563 
 
Talla: M 
 
$350",https://georginasj.com/tienda/wp-content/uploads/2020/07/mono-7.png,https://georginasj.com/tienda/producto/vestido-rosa-flores-350/,"REBAJAS VESTIDOS $350-$399","GeorginaSJ",600MXN,in stock,wc_post_id_985,https://georginasj.com/tienda/carrito/?add-to-cart=985,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,350MXN,new,published,,
wc_post_id_984,"VESTIDO ROJO TIRANTES $350","VESTIDO ROJO TIRANTES $350 
 
Modelo: salered82 
 
Talla: S-M 
 
$350",https://georginasj.com/tienda/wp-content/uploads/2020/07/mono-8.png,https://georginasj.com/tienda/producto/vestido-rojo-tirantes-350/,"REBAJAS VESTIDOS $350-$399","GeorginaSJ",500MXN,in stock,wc_post_id_984,https://georginasj.com/tienda/carrito/?add-to-cart=984,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,350MXN,new,published,,
wc_post_id_983,"VESTIDO PINKGIRL $350","VESTIDO PINKGIRL $350 
 
Modelo: sale-pinkgirl211 
 
Talla: S 
 
$350",https://georginasj.com/tienda/wp-content/uploads/2020/07/mono-9.png,https://georginasj.com/tienda/producto/vestido-pinkgirl-350/,"REBAJAS VESTIDOS $350-$399","GeorginaSJ",450MXN,out of stock,wc_post_id_983,https://georginasj.com/tienda/carrito/?add-to-cart=983,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,350MXN,new,published,,
wc_post_id_982,"VESTIDO AMARILLO/BLANCO $350","VESTIDO AMARILLO/BLANCO $350 
 
Modelo: sale5785 
 
Talla: M 
 
$350",https://georginasj.com/tienda/wp-content/uploads/2020/07/new.png,https://georginasj.com/tienda/producto/vestido-amarillo-blanco-350/,"REBAJAS VESTIDOS $350-$399","GeorginaSJ",450MXN,in stock,wc_post_id_982,https://georginasj.com/tienda/carrito/?add-to-cart=982,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,350MXN,new,published,,
wc_post_id_981,"VESTIDO NEW24 $350","VESTIDO NEW24 $350 
 
Modelo: sale-pinknew24 
 
Talla: S-M 
 
$350",https://georginasj.com/tienda/wp-content/uploads/2020/07/new-1.png,https://georginasj.com/tienda/producto/vestido-new24-350/,"REBAJAS VESTIDOS $350-$399","GeorginaSJ",500MXN,in stock,wc_post_id_981,https://georginasj.com/tienda/carrito/?add-to-cart=981,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,350MXN,new,published,,
wc_post_id_980,"VESTIDO REDGIRL $350","VESTIDO REDGIRL $350 
 
Modelo: sale-776 
 
Talla: S 
 
$350",https://georginasj.com/tienda/wp-content/uploads/2020/07/new-2.png,https://georginasj.com/tienda/producto/vestido-redgirl-350/,"REBAJAS VESTIDOS $350-$399","GeorginaSJ",480MXN,in stock,wc_post_id_980,https://georginasj.com/tienda/carrito/?add-to-cart=980,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,350MXN,new,published,,
wc_post_id_979,"VESTIDO FLORES $350","VESTIDO FLORES $350 
 
Modelo: sale-flowers213 
 
Talla: S 
 
$350",https://georginasj.com/tienda/wp-content/uploads/2020/07/new-3.png,https://georginasj.com/tienda/producto/vestido-flores-350/,"REBAJAS VESTIDOS $350-$399","GeorginaSJ",450MXN,in stock,wc_post_id_979,https://georginasj.com/tienda/carrito/?add-to-cart=979,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,350MXN,new,published,,
wc_post_id_978,"VESTIDO BLUEGIRL $350","VESTIDO BLUEGIRL $350 
 
Modelo: Sale-blue221 
 
Talla: M 
 
$350",https://georginasj.com/tienda/wp-content/uploads/2020/07/new-4.png,https://georginasj.com/tienda/producto/vestido-bluegirl-350/,"REBAJAS VESTIDOS $350-$399","GeorginaSJ",450MXN,in stock,wc_post_id_978,https://georginasj.com/tienda/carrito/?add-to-cart=978,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,350MXN,new,published,,
wc_post_id_976,"VESTIDO AMARILLO/NEGRO ENCAJE $350","VESTIDO AMARILLO/NEGRO ENCAJE $350 
 
Modelo: sale-2411 
 
Talla: S 
 
$350",https://georginasj.com/tienda/wp-content/uploads/2020/07/mas.png,https://georginasj.com/tienda/producto/vestido-amarillo-negro-encaje-350/,"REBAJAS VESTIDOS $350-$399","GeorginaSJ",450MXN,in stock,wc_post_id_976,https://georginasj.com/tienda/carrito/?add-to-cart=976,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,350MXN,new,published,,
wc_post_id_975,"VESTIDO VERDE TIRANTE $350","VESTIDO VERDE TIRANTE $350 
 
Modelo: Sale-1452 
 
Talla: L 
 
$350",https://georginasj.com/tienda/wp-content/uploads/2020/07/mas-1.png,https://georginasj.com/tienda/producto/vestido-verde-tirante-350/,"REBAJAS VESTIDOS $350-$399","GeorginaSJ",450MXN,in stock,wc_post_id_975,https://georginasj.com/tienda/carrito/?add-to-cart=975,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,350MXN,new,published,,
